web_url,funcionario,foto_img,cargo_generico,cargo_ocupado,ministerio,foto_url
http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/secretaria-de-ganaderia/direccion-de-sanidad/,Alfredo Ciro Díaz,"[{'checksum': '3e5f07b4e4f9e08aa301ef6eca41ade8', 'path': 'full/c8072b58b36325287d8c1b3f2fe0fbdfc9aaf40c.jpg', 'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/11/ALFREDO-CIRO-DIAZ21.jpg'}]",Dirección de Sanidad,Director de Sanidad,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/11/ALFREDO-CIRO-DIAZ21.jpg
http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/subsecretaria-de-infraestructura-agropecuaria/,Edgardo Delfor Bustamante,"[{'checksum': '5806fdb667b84ebb4b735aa9c72fe019', 'path': 'full/fe5fc7658dafa1953a1594b97e3df1ba10aba5d2.jpg', 'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2016/07/Edgardo-Bustamante.jpg'}]",Subsecretaría de Infraestructura Agropecuaria,Subsecretario de Infraestructura Agropecuaria,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/wp-content/4p96humuzp/2016/07/Edgardo-Bustamante.jpg
http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/direccion-general-de-agencias-zonales/,Abel Oscar Ponce,"[{'checksum': '6ad96598d16698a212ab5ae66540d698', 'path': 'full/971f9fee8960c000bcec12e52d89aef2e38748a7.jpg', 'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/Abel-Ponce-list.jpg'}]","Dirección General de Agencias Zonales,","Director General de Agencias Zonales,",Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/Abel-Ponce-list.jpg
http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/direccion-de-produccion-agropecuaria-familiar/,Mariana Victoria,"[{'checksum': 'a86058ec8e9c131cc153838ffee2ab00', 'path': 'full/818857aeee85495daf175c8caaff8cd705090548.jpg', 'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2018/04/thumbnail_Mariana-Victoria.jpg'}]",Dirección de Producción Agropecuaria Familiar,Directora de Producción Agropecuaria Familiar,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/wp-content/4p96humuzp/2018/04/thumbnail_Mariana-Victoria.jpg
http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/direccion-general-de-coordinacion-administrativa-y-legal/,Armando Ellena,"[{'checksum': '0d25cd74ff8a4cf2b3a1db756a74cd6e', 'path': 'full/bbcb4a554861c9587d3124d4cfb0b16e1f64f249.jpg', 'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2016/07/Armando-Ellena-1.jpg'}]",Dirección General de Coordinación Administrativa y Legal,Director General de Coordinación Administrativa y Legal,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/wp-content/4p96humuzp/2016/07/Armando-Ellena-1.jpg
http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/direccion-general-de-fiscalizacion-y-control/,Martín Alejandro Gutiérrez,"[{'checksum': '3972bafe5dda7867c47e34f4137ad2ad', 'path': 'full/51c84691825df2f5a9fdba9fd352e3487b44438f.jpg', 'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2016/02/Martin-Gutierrez.jpg'}]",Dirección General de Fiscalización y Control,Director General de Fiscalización y Control,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/wp-content/4p96humuzp/2016/02/Martin-Gutierrez.jpg
http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/direccion-jurisdiccion-de-asuntos-legales/,María Laura Marín,"[{'checksum': 'd844993987eaad602f34a96573014390', 'path': 'full/030bda0ca8b8a04cbd06cc3057811cbd34290a39.jpg', 'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2016/07/Maria-Laura-Marin-dos-1.jpg'}]",Dirección de Asuntos Legales,Directora de Asuntos Legales,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/wp-content/4p96humuzp/2016/07/Maria-Laura-Marin-dos-1.jpg
http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/direccion-jurisdiccion-de-sistemas/,Guillermo Goloboff,"[{'checksum': 'c435d85bd20d26f300e0b6b3e3b7f094', 'path': 'full/faf761957a1cca6db2d705b16852dbe43d1d3a01.jpg', 'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/08/thumbnail_Guillermo-Goloboff.jpg'}]",Dirección de Sistemas,Director de Sistemas,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/08/thumbnail_Guillermo-Goloboff.jpg
http://www.cba.gov.ar/reparticion/agencia-cordoba-turismo/vocal-3-de-la-agencia-cordoba-turismo/,Ramón Graneros,,Vocal del Directorio de la Agencia Córdoba Turismo,Vocal del Directorio de la Agencia Córdoba Turismo,Presidente de la Agencia Córdoba Turismo,
http://www.cba.gov.ar/reparticion/agencia-cordoba-turismo/vocal-4-de-la-agencia-cordoba-turismo/,Sergio Spicogna,,Vocal del Directorio de la Agencia Córdoba Turismo,Vocal del Directorio de la Agencia Córdoba Turismo,Presidente de la Agencia Córdoba Turismo,
