cargo_generico,cargo_ocupado,foto_img,foto_url,funcionario,ministerio,web_url
"Dirección de Gestión y Coordinación Laboral ""A""","Dirección de Gestión y Coordinación Laboral ""A""","[{'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/RM_468_MCb1zw2-thumbnail-32x32-70.JPG', 'path': 'thumbnail_32x32/RM_468_MCb1zw2-thumbnail-32x32-70.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/RM_468_MCb1zw2-thumbnail-125x125-70.JPG', 'path': 'thumbnail/RM_468_MCb1zw2-thumbnail-125x125-70.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/RM_468_MCb1zw2.JPG', 'path': 'original/RM_468_MCb1zw2.JPG'}]",https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/RM_468_MCb1zw2.JPG,Martín Flores,Sin definir,/funcionarios/persona/martin-flores/203
Subdirección de Calidad Alimentaria,Subdirección de Calidad Alimentaria,"[{'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/DSC_5483-thumbnail-32x32-70.JPG', 'path': 'thumbnail_32x32/DSC_5483-thumbnail-32x32-70.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/DSC_5483-thumbnail-125x125-70.JPG', 'path': 'thumbnail/DSC_5483-thumbnail-125x125-70.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/DSC_5483.JPG', 'path': 'original/DSC_5483.JPG'}]",https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/DSC_5483.JPG,Julio Martín Pusterla,Sin definir,/funcionarios/persona/julio-martin-pusterla/1314
Subdirección de Prensa,Subdirección de Prensa,"[{'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/FU_546_-_Marilina_Brussino-thumbnail-32x32-70.JPG', 'path': 'thumbnail_32x32/FU_546_-_Marilina_Brussino-thumbnail-32x32-70.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/FU_546_-_Marilina_Brussino-thumbnail-125x125-70.JPG', 'path': 'thumbnail/FU_546_-_Marilina_Brussino-thumbnail-125x125-70.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/FU_546_-_Marilina_Brussino.JPG', 'path': 'original/FU_546_-_Marilina_Brussino.JPG'}]",https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/FU_546_-_Marilina_Brussino.JPG,Marilina Brussino,Sin definir,/funcionarios/persona/marilina-brussino/251
Dirección de Asuntos Judiciales,Director de Asuntos Judiciales,"[{'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/RN_066_-_Martin_Cortes_Olmedo-thumbnail-32x32-70.JPG', 'path': 'thumbnail_32x32/RN_066_-_Martin_Cortes_Olmedo-thumbnail-32x32-70.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/RN_066_-_Martin_Cortes_Olmedo-thumbnail-125x125-70.JPG', 'path': 'thumbnail/RN_066_-_Martin_Cortes_Olmedo-thumbnail-125x125-70.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/RN_066_-_Martin_Cortes_Olmedo.JPG', 'path': 'original/RN_066_-_Martin_Cortes_Olmedo.JPG'}]",https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/RN_066_-_Martin_Cortes_Olmedo.JPG,Martín Cortes Olmedo,Sin definir,/funcionarios/persona/martin-cortes-olmedo/466
Dirección General de Subadministración de la Justicia Administrativa Municipal de Faltas,Dirección General de Subadministración de la Justicia Administrativa Municipal de Faltas,"[{'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/RN_036_-_Jorge_Orgaz-thumbnail-32x32-70.JPG', 'path': 'thumbnail_32x32/RN_036_-_Jorge_Orgaz-thumbnail-32x32-70.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/RN_036_-_Jorge_Orgaz-thumbnail-125x125-70.JPG', 'path': 'thumbnail/RN_036_-_Jorge_Orgaz-thumbnail-125x125-70.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/RN_036_-_Jorge_Orgaz.JPG', 'path': 'original/RN_036_-_Jorge_Orgaz.JPG'}]",https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/RN_036_-_Jorge_Orgaz.JPG,Jorge Orgaz,Sin definir,/funcionarios/persona/jorge-orgaz/512
Dirección de Gestión,Dirección de Gestión,"[{'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/RN_034-thumbnail-32x32-70.JPG', 'path': 'thumbnail_32x32/RN_034-thumbnail-32x32-70.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/RN_034-thumbnail-125x125-70.JPG', 'path': 'thumbnail/RN_034-thumbnail-125x125-70.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/RN_034.JPG', 'path': 'original/RN_034.JPG'}]",https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/RN_034.JPG,Leopoldo Lopez Canetti,Sin definir,/funcionarios/persona/leopoldo-lopez-canetti/474
Dirección de Infraestructura y Planificación,Dirección de Infraestructura y Planificación,"[{'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/RN_044-thumbnail-32x32-70.JPG', 'path': 'thumbnail_32x32/RN_044-thumbnail-32x32-70.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/RN_044-thumbnail-125x125-70.JPG', 'path': 'thumbnail/RN_044-thumbnail-125x125-70.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/RN_044.JPG', 'path': 'original/RN_044.JPG'}]",https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/RN_044.JPG,Miguel Ciacci,Sin definir,/funcionarios/persona/miguel-ciacci/457
Dirección General de Coordinación,Dirección General de Coordinación,"[{'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/Andrea-Ortiz-Arrigoni-thumbnail-32x32-70.jpg', 'path': 'thumbnail_32x32/Andrea-Ortiz-Arrigoni-thumbnail-32x32-70.jpg'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/Andrea-Ortiz-Arrigoni-thumbnail-125x125-70.jpg', 'path': 'thumbnail/Andrea-Ortiz-Arrigoni-thumbnail-125x125-70.jpg'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/Andrea-Ortiz-Arrigoni.jpg', 'path': 'original/Andrea-Ortiz-Arrigoni.jpg'}]",https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/Andrea-Ortiz-Arrigoni.jpg,Andrea Ortiz,Sin definir,/funcionarios/persona/andrea-ortiz/220
Dirección de Gestión y Coordinación Laboral,Director de Gestión y Coordinación Laboral,"[{'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/RM_103_Agustin_Torres-thumbnail-32x32-70.JPG', 'path': 'thumbnail_32x32/RM_103_Agustin_Torres-thumbnail-32x32-70.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/RM_103_Agustin_Torres-thumbnail-125x125-70.JPG', 'path': 'thumbnail/RM_103_Agustin_Torres-thumbnail-125x125-70.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/RM_103_Agustin_Torres.JPG', 'path': 'original/RM_103_Agustin_Torres.JPG'}]",https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/RM_103_Agustin_Torres.JPG,Agustin Torres,Sin definir,/funcionarios/persona/agustin-torres/412
Asesor de Gabinete,Asesor de Gabinete,"[{'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/GuillermoSoria-thumbnail-32x32-70.jpg', 'path': 'thumbnail_32x32/GuillermoSoria-thumbnail-32x32-70.jpg'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/GuillermoSoria-thumbnail-125x125-70.jpg', 'path': 'thumbnail/GuillermoSoria-thumbnail-125x125-70.jpg'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/GuillermoSoria.jpg', 'path': 'original/GuillermoSoria.jpg'}]",https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/GuillermoSoria.jpg,Guillermo Soria,Sin definir,/funcionarios/persona/guillermo-soria/404
