funcionario,cargo,ministerio,url,foto
Jorge Marcotegui,Presidente Agencia ProCórdoba,Presidente Agencia ProCórdoba,http://www.cba.gov.ar/reparticion/agencia-pro-cordoba/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/08/marcotegui.jpg
Alejandra Torres,Secretaria de Planeamiento y Modernización,Secretaria de Planeamiento y Modernización,http://www.cba.gov.ar/reparticion/secretaria-de-planeamiento-y-modernizacion/,http://www.cba.gov.ar/wp-content/4p96humuzp/2016/09/alejandra-torres.jpg
Manuel Calvo,Secretario de Comunicaciones y Conectividad,Secretario de Comunicaciones y Conectividad,http://www.cba.gov.ar/reparticion/secretaria-de-comunicaciones-y-conectividad/,http://www.cba.gov.ar/wp-content/4p96humuzp/2018/02/calvo1.png
Laura Jure,Secretaria de Equidad y Promoción del Empleo,Secretaria de Equidad y Promoción del Empleo,http://www.cba.gov.ar/reparticion/secretaria-de-equidad-y-promocion-del-empleo/,http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/laura-jure.png
Silvina Rivero,Secretaria General de la Gobernación,Secretaria General de la Gobernación,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/silvinarivero200x150.jpg
Francisco José Fortuna,Ministro de Salud,Ministro de Salud,http://www.cba.gov.ar/reparticion/ministerio-de-salud/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/Francisco-Fortuna.jpg
Luis Angulo,Ministro de Justicia y Derechos Humanos,Ministro de Justicia y Derechos Humanos,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Luis-Angulo.jpg
Mario César Cuneo,Presidente de la Agencia Córdoba Innovar y Emprender,Presidente de la Agencia Córdoba Innovar y Emprender,http://www.cba.gov.ar/reparticion/agencia-cordoba-innovar-y-emprender/,http://www.cba.gov.ar/wp-content/4p96humuzp/2016/07/mario-cuneo.png
Robert Rodrigo Rossotto,Director General,Presidente Agencia ProCórdoba,http://www.cba.gov.ar/reparticion/agencia-pro-cordoba/direccion-general/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/08/RobertRodrigoRossotto1.jpg
Alejandro Agustín Vespasiani,Secretario de Coordinación de Proyectos de Modernización,Secretaria de Planeamiento y Modernización,http://www.cba.gov.ar/reparticion/secretaria-de-planeamiento-y-modernizacion/secretaria-de-coordinacion-de-proyectos-de-modernizacion-2/,http://www.cba.gov.ar/wp-content/4p96humuzp/2018/02/vespasiani.jpg
Gustavo Zamudio,Secretario de Prensa,Secretario de Comunicaciones y Conectividad,http://www.cba.gov.ar/reparticion/secretaria-de-comunicaciones-y-conectividad/secretaria-de-prensa-y-difusion/,
 César Eduardo Jaimez,Director General de Prensa,Secretario de Comunicaciones y Conectividad,http://www.cba.gov.ar/reparticion/secretaria-de-comunicaciones-y-conectividad/secretaria-de-prensa-y-difusion/direccion-general-de-prensa/,http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/cesar-jaime.jpg
Soledad Baldacci,Subsecretaria de Contenidos Digitales,Secretario de Comunicaciones y Conectividad,http://www.cba.gov.ar/reparticion/secretaria-de-comunicaciones-y-conectividad/subsecretaria-de-contenidos-digitales/,http://www.cba.gov.ar/wp-content/4p96humuzp/2018/02/Soledad.jpg
Carlos Alejandro Arzú,Subsecretario de Difusión,Secretario de Comunicaciones y Conectividad,http://www.cba.gov.ar/reparticion/secretaria-de-comunicaciones-y-conectividad/subsecretario-de-difusion/,
Ignacio Gei,Subsecretario de Telecomunicaciones,Secretario de Comunicaciones y Conectividad,http://www.cba.gov.ar/reparticion/secretaria-de-comunicaciones-y-conectividad/subsecretaria-de-telecomunicaciones/,http://www.cba.gov.ar/wp-content/4p96humuzp/2018/02/ignacio-gei.jpg
Manuel Grahovac,Director General de Integración y Planeamiento,Secretario de Comunicaciones y Conectividad,http://www.cba.gov.ar/reparticion/secretaria-de-comunicaciones-y-conectividad/subsecretaria-de-telecomunicaciones/direccion-general-de-integracion-y-planeamiento/,http://www.cba.gov.ar/wp-content/4p96humuzp/2018/03/Manuel-Grahovac.jpg
Mauricio Gabriel Bísaro,Director General de Operaciones,Secretario de Comunicaciones y Conectividad,http://www.cba.gov.ar/reparticion/secretaria-de-comunicaciones-y-conectividad/subsecretaria-de-telecomunicaciones/direccion-general-de-operaciones/,http://www.cba.gov.ar/wp-content/4p96humuzp/2018/02/bisaro3.jpg
Gabriel Ignacio Roberi,Subsecretario de Articulación y Control de Gestión,Secretario de Comunicaciones y Conectividad,http://www.cba.gov.ar/reparticion/secretaria-de-comunicaciones-y-conectividad/subsecretaria-de-articulacion-y-control-de-gestion/,http://www.cba.gov.ar/wp-content/4p96humuzp/2018/02/gabriel-robieri1.jpg
Manuel Esnaola,Director General de Planeamiento y Relaciones Institucionales,Secretario de Comunicaciones y Conectividad,http://www.cba.gov.ar/reparticion/secretaria-de-comunicaciones-y-conectividad/subsecretaria-de-articulacion-y-control-de-gestion/direccion-general-de-planeamiento-y-relaciones-institucionales/,http://www.cba.gov.ar/wp-content/4p96humuzp/2018/03/esnaola.jpg
 Ana Carolina Comba,Directora General de Administración,Secretario de Comunicaciones y Conectividad,http://www.cba.gov.ar/reparticion/secretaria-de-comunicaciones-y-conectividad/direccion-general-de-administracion/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/Ana-Carolina-Comba-Direct.jpg
Valeria Liliana Brain,Directora General de Asuntos Legales,Secretario de Comunicaciones y Conectividad,http://www.cba.gov.ar/reparticion/secretaria-de-comunicaciones-y-conectividad/direccion-general-de-asuntos-legales/,http://www.cba.gov.ar/wp-content/4p96humuzp/2018/02/brian.jpg
Carolina del Valle Basualdo,Secretaria de Equidad,Secretaria de Equidad y Promoción del Empleo,http://www.cba.gov.ar/reparticion/secretaria-de-equidad-y-promocion-del-empleo/secretaria-de-equidad/,http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/Carolina-Basualdo.png
Inés María Zinny ,Directora General de Coordinación de Salas Cuna,Secretaria de Equidad y Promoción del Empleo,http://www.cba.gov.ar/reparticion/secretaria-de-equidad-y-promocion-del-empleo/secretaria-de-equidad/direccion-general-de-coordinacion-de-salas-cuna/,http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/Inés-Zinny-1.png
María Victoria Moncada,Directora General de Coordinación del Programa Córdoba con Ellas,Secretaria de Equidad y Promoción del Empleo,http://www.cba.gov.ar/reparticion/secretaria-de-equidad-y-promocion-del-empleo/secretaria-de-equidad/direccion-general-de-coordinacion-del-programa-cordoba-con-ellas/,http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/Victoria-Moncada-1.png
Miguel Pedro Civallero,Secretario de Promoción del Empleo,Secretaria de Equidad y Promoción del Empleo,http://www.cba.gov.ar/reparticion/secretaria-de-equidad-y-promocion-del-empleo/secretaria-de-promocion-del-empleo/,http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/Miguel-Civallero-1.png
María Soledad Ferraro,Subsecretaria de Formación Profesional y Capacitación Laboral,Secretaria de Equidad y Promoción del Empleo,http://www.cba.gov.ar/reparticion/secretaria-de-equidad-y-promocion-del-empleo/secretaria-de-promocion-del-empleo/subsecretaria-de-formacion-profesional-y-capacitacion-laboral/,http://www.cba.gov.ar/wp-content/4p96humuzp/2018/03/Ferraro-NUEVO.jpg
 Dante Nicolás Quaglia,Director General de Promoción del Empleo,Secretaria de Equidad y Promoción del Empleo,http://www.cba.gov.ar/reparticion/secretaria-de-equidad-y-promocion-del-empleo/secretaria-de-promocion-del-empleo/direccion-general-de-promocion-del-empleo/,http://www.cba.gov.ar/wp-content/4p96humuzp/2018/03/QUAGLIA-NUEVA.jpg
Germán Adolfo Bossa,Director General de Análisis de Indicadores Socio-laborales y Promoción del Empleo,Secretaria de Equidad y Promoción del Empleo,http://www.cba.gov.ar/reparticion/secretaria-de-equidad-y-promocion-del-empleo/secretaria-de-promocion-del-empleo/direccion-general-de-analisis-de-indicadores-socio-laborales-y-promocion-del-empleo/,http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/Germán-Bossa-1.png
Carlos Mariano Lorenzo,Director General de Promoción Territorial,Secretaria de Equidad y Promoción del Empleo,http://www.cba.gov.ar/reparticion/secretaria-de-equidad-y-promocion-del-empleo/secretaria-de-promocion-del-empleo/direccion-general-de-promocion-territorial/,http://www.cba.gov.ar/wp-content/4p96humuzp/2016/03/Mariano-Lorenzo-1.png
Luis Leonardo Limia,Subsecretario de Participación Comunitaria,Secretaria de Equidad y Promoción del Empleo,http://www.cba.gov.ar/reparticion/secretaria-de-equidad-y-promocion-del-empleo/subsecretaria-de-participacion-comunitaria/,http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/Leonardo-Limia.png
Marcos Darsie,Director General Banco de la Gente,Secretaria de Equidad y Promoción del Empleo,http://www.cba.gov.ar/reparticion/secretaria-de-equidad-y-promocion-del-empleo/direccion-general-banco-de-la-gente/,http://www.cba.gov.ar/wp-content/4p96humuzp/2017/12/Marcos-Darsie.png
Silvio Rodolfo Conturso,Director General de Administración,Secretaria de Equidad y Promoción del Empleo,http://www.cba.gov.ar/reparticion/secretaria-de-equidad-y-promocion-del-empleo/direccion-general-de-administracion/,http://www.cba.gov.ar/wp-content/4p96humuzp/2018/01/Rodolfo-Conturso.png
Gerardo Cámara,Director General de Asuntos Legales,Secretaria de Equidad y Promoción del Empleo,http://www.cba.gov.ar/reparticion/secretaria-de-equidad-y-promocion-del-empleo/direccion-general-de-asuntos-legales/,http://www.cba.gov.ar/wp-content/4p96humuzp/2018/01/Gerado-Cámara.png
Alfredo Altamirano,Director de la Unidad Ejecutora del Programa de Desarrollo del Norte y Oeste Cordobés,Secretaria de Equidad y Promoción del Empleo,http://www.cba.gov.ar/reparticion/secretaria-de-equidad-y-promocion-del-empleo/unidad-ejecutora-del-programa-de-desarrollo-del-norte-y-oeste-cordobes/,http://www.cba.gov.ar/wp-content/4p96humuzp/2016/03/Alfredo-Altamirano-1.png
Débora Mariano,Directora de la Unidad Ejecutora del Plan Por la Flia,Secretaria de Equidad y Promoción del Empleo,http://www.cba.gov.ar/reparticion/secretaria-de-equidad-y-promocion-del-empleo/unidad-ejecutora-del-plan-por-la-flia/,http://www.cba.gov.ar/wp-content/4p96humuzp/2018/01/Débora-Mariano.png
Julio César Comello,Secretario de Coordinación de la Secretaría General de la Gobernación,Secretaria General de la Gobernación,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/secretaria-de-coordinacion-de-la-secretaria-general-de-la-gobernacion/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/comello2.jpg
Silvana Castellano,Directora General de Administración,Secretaria General de la Gobernación,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/secretaria-de-coordinacion-de-la-secretaria-general-de-la-gobernacion/direccion-general-de-administracion/,http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/silvana-castellano1.jpg
Lorena Zanón Argenti,Directora General de Coordinación Operativa,Secretaria General de la Gobernación,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/secretaria-de-coordinacion-de-la-secretaria-general-de-la-gobernacion/direccion-general-de-coordinacion-operativa/,http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/lorena-zanon1.jpg
Claudia Mabel Oliva,Directora General del Programa de Asistencia Integral de Córdoba (P.A.iCor),Secretaria General de la Gobernación,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/secretaria-de-coordinacion-de-la-secretaria-general-de-la-gobernacion/direccion-general-del-programa-de-asistencia-integral-de-cordoba-p-a-icor/,http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/oliva1.jpg
Juan Esteban Ferreiro,Secretario de Fortalecimiento Institucional,Secretaria General de la Gobernación,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/secretaria-de-fortalecimiento-institucional/,http://www.cba.gov.ar/wp-content/4p96humuzp/2015/06/juan-esteban-ferreiro.jpg
Daniela María Beletti,Directora General de Gestión Pública,Secretaria General de la Gobernación,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/secretaria-de-fortalecimiento-institucional/direccion-general-de-gestion-publica/,http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/daniela-beletti1.jpg
Héctor Juan Conti,Director General de Estadística y Censos,Secretaria General de la Gobernación,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/secretaria-de-fortalecimiento-institucional/dir-gral-estadisticas-y-censos/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/hector-conti.jpg
Gustavo Panighel,Secretario de Capital Humano,Secretaria General de la Gobernación,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/secretaria-de-capital-humano/,http://www.cba.gov.ar/wp-content/4p96humuzp/2014/03/panighel.jpg
Christian Zoela,Director General de Desarrollo del Capital Humano ,Secretaria General de la Gobernación,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/secretaria-de-capital-humano/dir-gral-de-planificacion-y-desarrollo-del-capital-humano/,http://www.cba.gov.ar/wp-content/4p96humuzp/2014/02/zoelacristian.jpg
Cr. José Ernesto Sonzini,Director General de Gestión Salarial,Secretaria General de la Gobernación,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/secretaria-de-capital-humano/direccion-general-de-gestion-salarial/,http://www.cba.gov.ar/wp-content/4p96humuzp/2014/08/ernesto-sonzini1.jpg
Leonardo Catelli,Director General de Administración de Capital Humano,Secretaria General de la Gobernación,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/secretaria-de-capital-humano/direccion-general-de-administracion-de-capital-humano/,http://www.cba.gov.ar/wp-content/4p96humuzp/2016/07/catelli1.jpg
Lilian Raquel Rivero,Directora General de Asuntos Legales,Secretaria General de la Gobernación,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/dir-gral-de-asuntos-legales/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/lilian-rivero1.jpg
Juan D´Amico,Director General de Coordinación de Infraestructura Tecnológica,Secretaria General de la Gobernación,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/direccion-general-de-coordinacion-de-infraestructura-tecnologica/,http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/Damico1.jpg
Mario Gabriel Marcellini,Director  General de Aeronáutica,Secretaria General de la Gobernación,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/direccion-general-de-aeronautica/,
Carlos Luciano Ilari,Secretario de la Delegación Oficial del Gobierno de la Provincia de Córdoba,Secretaria General de la Gobernación,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/secretaria-de-la-delegacion-oficial-del-gobierno-de-la-provincia-de-cordoba/,http://www.cba.gov.ar/wp-content/4p96humuzp/2016/07/Carlos-Ilari.jpg
Hugo Emilio Palacios,Secretario de la Delegación del Gobierno de la Provincia de Córdoba en Río Cuarto,Secretaria General de la Gobernación,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/secretaria-de-la-delegacion-del-gobierno-de-la-provincia-de-cordoba-en-rio-cuarto/,http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/Foto-Hugo-Palacios.jpg
Lic. Jorge Sebastián Borgognoni,Director General de la Delegación Oficial del Gobierno de la Provincia de Córdoba en la ciudad de San Francisco,Secretaria General de la Gobernación,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/direccion-general-de-la-delegacion-oficial-del-gobierno-de-la-provincia-de-cordoba-en-la-ciudad-de-san-francisco/,http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/delegado-san-francisco1.jpg
Néstor Emilio Filipponi,Secretario de Salud Mental,Ministro de Salud,http://www.cba.gov.ar/reparticion/ministerio-de-salud/secretaria-de-salud-mental/,
María Pía Guidetti,Directora General de Gestión Sanitaria,Ministro de Salud,http://www.cba.gov.ar/reparticion/ministerio-de-salud/secretaria-de-salud-mental/direccion-general-de-gestion-sanitaria/,
Diego Cardozo,Secretario de Servicios Asistenciales,Ministro de Salud,http://www.cba.gov.ar/reparticion/ministerio-de-salud/secretaria-de-servicios-asistenciales-2/,
Héctor Ricardo Máisuls,"Subsecretario de Coordinación de Atención Médica, Calidad Hospitalaria y Seguridad del Paciente",Ministro de Salud,http://www.cba.gov.ar/reparticion/ministerio-de-salud/secretaria-de-servicios-asistenciales-2/subsecretaria-de-coordinacion-de-atencion-medica-calidad-hospitalaria-y-seguridad-del-paciente/,
María Teresa Puga Marín,"Subsecretaria de Discapacidad, Rehabilitación e Inclusión",Ministro de Salud,http://www.cba.gov.ar/reparticion/ministerio-de-salud/subsecretaria-de-discapacidad-rehabilitacion-e-inclusion/,http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/Maria-Teresa-Puga.png
Eduardo Ariel Carrizo,Subsecretario de Fiscalización y Control de Atención Médica,Ministro de Salud,http://www.cba.gov.ar/reparticion/ministerio-de-salud/subsecretaria-de-fiscalizacion-y-atencion-medica/,
José Andrés Ahun Frau,Director General Legal y Técnico,Ministro de Salud,http://www.cba.gov.ar/reparticion/ministerio-de-salud/subsecretaria-de-fiscalizacion-y-atencion-medica/direccion-general-legal-y-tecnica/,
Analía Cudolá,Secretaria de Prevención y Promoción de la Salud,Ministro de Salud,http://www.cba.gov.ar/reparticion/ministerio-de-salud/secretaria-de-prevencion-y-promocion-de-la-salud/,
Diego Alonso,Subsecretario de Coordinación de Programas,Ministro de Salud,http://www.cba.gov.ar/reparticion/ministerio-de-salud/secretaria-de-prevencion-y-promocion-de-la-salud/subsecretaria-de-coordinacion-de-programas/,
Leonardo Luís Mongi,Director General de Enfermedades Crónicas no Transmisibles,Ministro de Salud,http://www.cba.gov.ar/reparticion/ministerio-de-salud/secretaria-de-prevencion-y-promocion-de-la-salud/direccion-general-de-enfermedades-cronicas-no-transmisibles/,
Alejandro Gauto,Secretaria de Coordinación y Gestión Administrativa,Ministro de Salud,http://www.cba.gov.ar/reparticion/ministerio-de-salud/secretaria-de-coordinacion-y-gestion-administrativa-2/,
Alejandro Soliani,Subsecretario Contable y Presupuestario,Ministro de Salud,http://www.cba.gov.ar/reparticion/ministerio-de-salud/secretaria-de-coordinacion-y-gestion-administrativa-2/subsecretaria-contable-y-presupuestario/,
Roque Alberto Villalón,Subsecretario de Coordinación de Programas Sociales y Administración Hospitalaria,Ministro de Salud,http://www.cba.gov.ar/reparticion/ministerio-de-salud/secretaria-de-coordinacion-y-gestion-administrativa-2/subsecretaria-de-coordinacion-de-programas-sociales-y-administracion-hospitalaria/,
Norberto Emilio Martínez,Director General de Acción Social,Ministro de Salud,http://www.cba.gov.ar/reparticion/ministerio-de-salud/secretaria-de-coordinacion-y-gestion-administrativa-2/subsecretaria-de-coordinacion-de-programas-sociales-y-administracion-hospitalaria/direccion-general-de-accion-social/,
José María Cittadini,Director General de Compras y Contrataciones,Ministro de Salud,http://www.cba.gov.ar/reparticion/ministerio-de-salud/secretaria-de-coordinacion-y-gestion-administrativa-2/dir-gral-compras-y-suministros/,
Adrián  Danieli,Director General de Infraestructura,Ministro de Salud,http://www.cba.gov.ar/reparticion/ministerio-de-salud/secretaria-de-coordinacion-y-gestion-administrativa-2/direccion-general-de-infraestructura/,
Darío Gigena Parker ,Secretario de Prevención y Asistencia de las Adicciones,Ministro de Salud,http://www.cba.gov.ar/reparticion/ministerio-de-salud/secretaria-de-prevencion-y-asistencia-de-las-adicciones/,http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/Dario-Gigena-Parker.png
Pablo Bonino,Subsecretario de Prevención de Adicciones ,Ministro de Salud,http://www.cba.gov.ar/reparticion/ministerio-de-salud/secretaria-de-prevencion-y-asistencia-de-las-adicciones/subsecretaria-de-prevencion-de-adicciones/,
Sergio Victorio Metrebian,Director General de Capacitación y Formación en Salud,Ministro de Salud,http://www.cba.gov.ar/reparticion/ministerio-de-salud/dir-gral-de-escuela-de-formacion-de-especialistas/,
Laura Matilde Echenique,Secretaria de Justicia,Ministro de Justicia y Derechos Humanos,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/secretaria-de-justicia-y-derechos-humanos/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/laura-echenique.jpg
,Directora General Registro Civil y Capacidad de las Personas,Ministro de Justicia y Derechos Humanos,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/secretaria-de-justicia-y-derechos-humanos/direccion-general-registro-civil-y-capacidad-de-las-personas-ministerio-de-justicia-y-derechos-humanos/,
Darío Conrado Luna,Presidente Unidad Ejecutora para el Saneamiento de Títulos,Ministro de Justicia y Derechos Humanos,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/secretaria-de-justicia-y-derechos-humanos/directorio-unidad-ejecutora-para-el-saneamiento-de-titulos-ministerio-de-justicia-y-derechos-humanos/,
Raúl Hernando Sánchez,Secretario de Derechos Humanos,Ministro de Justicia y Derechos Humanos,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/secretaria-de-derechos-humanos/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/raulSANCHEZ200X150.jpg
Graciela Ayame,Subsecretaria de Derechos Humanos,Ministro de Justicia y Derechos Humanos,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/secretaria-de-derechos-humanos/subsecretaria-de-derechos-humanos-ministerio-de-justicia-y-derechos-humanos/,
Cristian Scheurer,Director General de Capacitación y Difusión de los Derechos Humanos en la Comunidad,Ministro de Justicia y Derechos Humanos,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/secretaria-de-derechos-humanos/direccion-general-de-capacitacion-y-difusion-de-los-derechos-humanos-en-la-comunidad/,
Claudia Roxana Martínez,Secretaria de Lucha contra la Violencia a la Mujer y Trata de Personas,Ministro de Justicia y Derechos Humanos,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/secretaria-de-lucha-contra-la-violencia-a-la-mujer-y-trata-de-personas/,http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/Claudia-Roxana-Martinez.jpg
Cintia Daniela Hayipanteli,Subsecretaria de Asistencia y Trata de Personas,Ministro de Justicia y Derechos Humanos,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/secretaria-de-lucha-contra-la-violencia-a-la-mujer-y-trata-de-personas/subsecretaria-de-asistencia-y-trata-de-personas/,http://www.cba.gov.ar/wp-content/4p96humuzp/2016/03/hayipantelli.png
Emma Lucía García,Subsecretaria de Lucha Contra la Violencia de Género y Familia,Ministro de Justicia y Derechos Humanos,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/secretaria-de-lucha-contra-la-violencia-a-la-mujer-y-trata-de-personas/subsecretaria-de-lucha-contra-la-violencia-de-genero-y-familia/,http://www.cba.gov.ar/wp-content/4p96humuzp/2016/02/Emma-Lucia-Garcia.jpg
José Ricardo Piñero,"Secretario de Niñez, Adolescencia y Familia",Ministro de Justicia y Derechos Humanos,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/secretaria-de-ninez-adolescencia-y-familia/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Piñero1.jpg
Antonio Franco,"Subsecretario de Niñez, Adolescencia y Familia",Ministro de Justicia y Derechos Humanos,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/secretaria-de-ninez-adolescencia-y-familia/subsecretaria-de-ninez-adolescencia-y-familia/,
Pablo Rivarola,Director General Penal Juvenil,Ministro de Justicia y Derechos Humanos,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/secretaria-de-ninez-adolescencia-y-familia/direccion-general-penal-juvenil/,http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/Pablo-Rivarola.jpg
,,Ministro de Justicia y Derechos Humanos,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/secretaria-de-ninez-adolescencia-y-familia/direccion-de-coordinacion-operativa-de-areas-de-proteccion-integral-de-derechos/,
Juan Martín Farfán,Secretario de Organización y Gestión Penitenciaria,Ministro de Justicia y Derechos Humanos,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/secretaria-de-organizacion-y-gestion-penitenciaria/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Martín-Farfan.jpg
Sandra Liz Chiavaro,Directora General de Capacitación Profesional Penitenciaria,Ministro de Justicia y Derechos Humanos,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/secretaria-de-organizacion-y-gestion-penitenciaria/direccion-general-de-capacitacion-profesional-penitenciaria/,
Juan E. Gelos,"Director de Trabajo, Producción y Comercialización Penitenciaria del Servicio Penitenciario de Córdoba",Ministro de Justicia y Derechos Humanos,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/secretaria-de-organizacion-y-gestion-penitenciaria/direccion-de-trabajo-produccion-y-comercializacion-penitenciaria-del-servicio-penitenciario-de-cordoba/,
,,Ministro de Justicia y Derechos Humanos,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/secretaria-de-organizacion-y-gestion-penitenciaria/direccion-del-patronato-del-liberado/,
Juan María Bouvier,Titular,Ministro de Justicia y Derechos Humanos,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/secretaria-de-organizacion-y-gestion-penitenciaria/servicio-penitenciario-de-cordoba/,http://www.cba.gov.ar/wp-content/4p96humuzp/2013/02/Juan-María-Bouvier-Serv-Pnitenciario-Provincial.jpg
María Inés Cabanillas,Directora de Administración del Servicio Penitenciario,Ministro de Justicia y Derechos Humanos,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/secretaria-de-organizacion-y-gestion-penitenciaria/direccion-de-administracion-del-servicio-penitenciari/,
Rosa E. Alaimo,Directora de Asuntos Jurídicos del Servicio Penitenciario de Córdoba,Ministro de Justicia y Derechos Humanos,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/secretaria-de-organizacion-y-gestion-penitenciaria/direccion-de-asuntos-juridicos-del-servicio-penitenciario-de-cordoba/,
,Director de Políticas Penitenciarias,Ministro de Justicia y Derechos Humanos,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/secretaria-de-organizacion-y-gestion-penitenciaria/direccion-de-politicas-penitenciarias/,
Nicolás Ramón Pagnucco,Director General de Asuntos Legales,Ministro de Justicia y Derechos Humanos,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/direccion-general-de-asuntos-legales/,
José Rodríguez Ponce,Director ejecutivo,Presidente de la Agencia Córdoba Innovar y Emprender,http://www.cba.gov.ar/reparticion/agencia-cordoba-innovar-y-emprender/direccion-ejecutiva/,http://www.cba.gov.ar/wp-content/4p96humuzp/2017/04/Jose-Rodriguez1.png
Nicolás Piloni, Director de Innovación,Presidente de la Agencia Córdoba Innovar y Emprender,http://www.cba.gov.ar/reparticion/agencia-cordoba-innovar-y-emprender/direccion-de-innovacion/,http://www.cba.gov.ar/wp-content/4p96humuzp/2017/04/Nicolas-Piloni-color.png
Patricio Bavera,Director Río Cuarto,Presidente de la Agencia Córdoba Innovar y Emprender,http://www.cba.gov.ar/reparticion/agencia-cordoba-innovar-y-emprender/direccion-rio-cuarto/,http://www.cba.gov.ar/wp-content/4p96humuzp/2017/04/Patricio-Bavera1.png
