funcionario,cargo,ministerio,url,foto
Víctor Gómez,Director General Educación Secundaria,Ministro de Educación,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/secretaria-de-educacion/dir-gral-educacion-secundaria/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/Víctor-Gómez.jpg
Hugo Ramón Zanet,Director General Enseñanza Privada,Ministro de Educación,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/secretaria-de-educacion/dir-gral-ensenanza-privada/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/Hugo_Zanet.jpg
Domingo Aringoli,Director General Educación Técnica y Formación Profesional,Ministro de Educación,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/secretaria-de-educacion/dir-gral-educacion-tecnica-y-formacion-profesional/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/Domingo_Aringoli.jpg
Santiago Amadeo Lucero,Director General Educación Superior,Ministro de Educación,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/secretaria-de-educacion/dir-gral-educacion-superior/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/Santiago-Lucero1.jpg
Stella Maris Adrover,Directora General de Educación Primaria,Ministro de Educación,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/secretaria-de-educacion/direccion-general-de-nivel-inicial-y-primaria-ministerio-de-educacion/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Stella-Maris-Adrover1.jpg
Edith Teresa Flores,Directora General de Educación Inicial,Ministro de Educación,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/secretaria-de-educacion/direccion-general-de-educacion-inicial/,http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/Edhit-Flores.jpg
Alicia Beatriz Bonetto,Directora General de Educación Especial y Hospitalaria,Ministro de Educación,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/secretaria-de-educacion/direccion-general-de-educacion-especial-y-hospitalaria/,http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/Alicia-Bonetto1.jpg
Rodolfo Nicolás Carvajal,Secretario de Gestión Administrativa,Ministro de Educación,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/secretaria-de-gestion-administrativa-ministerio-de-educacion/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Nicolás-Carvajal.jpg
Virginia Monassa,Directora de Recursos Humanos,Ministro de Educación,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/secretaria-de-gestion-administrativa-ministerio-de-educacion/direccion-de-recursos-humanos-3/,http://www.cba.gov.ar/wp-content/4p96humuzp/2017/08/Virginia-Monassa.png
Sergio Adrián Vexenat ,Subdirector de Recursos Humanos,Ministro de Educación,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/secretaria-de-gestion-administrativa-ministerio-de-educacion/direccion-de-recursos-humanos-3/subdireccion-de-recursos-humanos/,
Carlos Alberto Sanchez,Secretario de Relaciones Institucionales,Ministro de Educación,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/secretaria-de-relaciones-institucionales-ministerio-de-educacion/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Carlos_alberto_Sanchez.jpg
Carlos Pedetta,Director General de Programas Especiales,Ministro de Educación,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/secretaria-de-relaciones-institucionales-ministerio-de-educacion/direccion-general-de-programas-especiales-ministerio-de-educacion/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Carlos-Pedetta1.jpg
