funcionario,cargo,ministerio,url
Edith Teresa Flores,Directora General de Educación Inicial,Ministro de Educación,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/
Alicia Beatriz Bonetto,Directora General de Educación Especial y Hospitalaria,Ministro de Educación,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/
Rodolfo Nicolás Carvajal,Secretario de Gestión Administrativa,Ministro de Educación,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/
Virginia Monassa,Directora de Recursos Humanos,Ministro de Educación,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/
Sergio Adrián Vexenat ,Subdirector de Recursos Humanos,Ministro de Educación,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/
Carlos Alberto Sanchez,Secretario de Relaciones Institucionales,Ministro de Educación,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/
Carlos Pedetta,Director General de Programas Especiales,Ministro de Educación,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/
Carlos Dalmiro Paz,Subdirector de Promoción Social y de la Salud,Ministro de Educación,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/
Marcelo Fita,Subdirector de Participación de la Comunidad,Ministro de Educación,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/
Rosana Zárate,Subdirectora de Programas Especiales,Ministro de Educación,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/
Carlos Ricardo Giovannoni,Director General de Infraestructura Escolar,Ministro de Educación,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/
José Antonio Papa,Subdirector de Programas Especiales e Infraestructura,Ministro de Educación,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/
Alfredo Oscar Colazo,Director General de Asuntos Legales ,Ministro de Educación,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/
Edgar Bruno,Vocal Agencia Córdoba Joven ,Presidente de la Agencia Córdoba Joven,http://www.cba.gov.ar/reparticion/agencia-cordoba-joven/
Valeria Butteler,Vocal Agencia Córdoba Joven,Presidente de la Agencia Córdoba Joven,http://www.cba.gov.ar/reparticion/agencia-cordoba-joven/
 Matias Anconetani,Vocal Agencia Córdoba Joven,Presidente de la Agencia Córdoba Joven,http://www.cba.gov.ar/reparticion/agencia-cordoba-joven/
Leandro Martín Carpintero,Vocal Agencia Córdoba Joven,Presidente de la Agencia Córdoba Joven,http://www.cba.gov.ar/reparticion/agencia-cordoba-joven/
Marcelo Ferro,Vocal Agencia Córdoba Joven,Presidente de la Agencia Córdoba Joven,http://www.cba.gov.ar/reparticion/agencia-cordoba-joven/
Jonatan Palomeque Farfán,Vocal Agencia Córdoba Joven,Presidente de la Agencia Córdoba Joven,http://www.cba.gov.ar/reparticion/agencia-cordoba-joven/
Luis Muñoz,Director de Promoción y Eventos,Presidente de la Agencia Córdoba Joven,http://www.cba.gov.ar/reparticion/agencia-cordoba-joven/
Elena Noemí Maule,Director General de Administracion y Legales,Presidente de la Agencia Córdoba Joven,http://www.cba.gov.ar/reparticion/agencia-cordoba-joven/
Marcela Flachs,Vocal del Directorio de la Agencia Córdoba Turismo,Presidente de la Agencia Córdoba Turismo,http://www.cba.gov.ar/reparticion/agencia-cordoba-turismo/
Gabriel Raies,Vocal del Directorio de la Agencia Córdoba Turismo,Presidente de la Agencia Córdoba Turismo,http://www.cba.gov.ar/reparticion/agencia-cordoba-turismo/
Ramón Graneros,Vocal del Directorio de la Agencia Córdoba Turismo,Presidente de la Agencia Córdoba Turismo,http://www.cba.gov.ar/reparticion/agencia-cordoba-turismo/
Sergio Spicogna,Vocal del Directorio de la Agencia Córdoba Turismo,Presidente de la Agencia Córdoba Turismo,http://www.cba.gov.ar/reparticion/agencia-cordoba-turismo/
Raúl Ahumada,Vocal del Directorio de la Agencia Córdoba Turismo,Presidente de la Agencia Córdoba Turismo,http://www.cba.gov.ar/reparticion/agencia-cordoba-turismo/
Fabricio Sebastián Díaz,Vocal del Directorio de la Agencia Córdoba Turismo,Presidente de la Agencia Córdoba Turismo,http://www.cba.gov.ar/reparticion/agencia-cordoba-turismo/
Héctor Dante Colombo,Síndico Titular de la Agencia Córdoba Turismo,Presidente de la Agencia Córdoba Turismo,http://www.cba.gov.ar/reparticion/agencia-cordoba-turismo/
Georgina Bardach,Vocal,Presidente de la Agencia Córdoba Deportes,http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/
Silvio Tranquilli,Vocal,Presidente de la Agencia Córdoba Deportes,http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/
Oscar Dertycia,Vocal,Presidente de la Agencia Córdoba Deportes,http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/
Mariano Reutemann,Vocal,Presidente de la Agencia Córdoba Deportes,http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/
Jorge Pratolongo,Vocal,Presidente de la Agencia Córdoba Deportes,http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/
Juan Domingo Viola,Vocal,Presidente de la Agencia Córdoba Deportes,http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/
Jorge Cattaneo,Vocal,Presidente de la Agencia Córdoba Deportes,http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/
Mariano Schiaretti,Vocal de Directorio,Presidente de la Agencia Córdoba Deportes,http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/
Amira Ramadán,Vocal,Presidente de la Agencia Córdoba Deportes,http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/
Mario Jorge López Amaya,Síndico Titular,Presidente de la Agencia Córdoba Deportes,http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/
Jorge Álvarez,Vocal del Directorio de la Agencia Córdoba Cultura,Presidente de la Agencia Córdoba Cultura,http://www.cba.gov.ar/reparticion/agencia-cordoba-cultura/
Nora Cingolani,Vocal del Directorio de la Agencia Córdoba Cultura,Presidente de la Agencia Córdoba Cultura,http://www.cba.gov.ar/reparticion/agencia-cordoba-cultura/
Liliana Beatriz Arraya ,Vocal del Directorio de la Agencia Córdoba Cultura,Presidente de la Agencia Córdoba Cultura,http://www.cba.gov.ar/reparticion/agencia-cordoba-cultura/
Marcos Hernán Bovo,Vocal del Directorio de la Agencia Córdoba Cultura,Presidente de la Agencia Córdoba Cultura,http://www.cba.gov.ar/reparticion/agencia-cordoba-cultura/
Marilina Mirez Boemio,Directora General de Administración,Presidente de la Agencia Córdoba Cultura,http://www.cba.gov.ar/reparticion/agencia-cordoba-cultura/
Javier Britch,Secretario de Ambiente y Cambio Climático,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/
Diego Horacio Suárez,Director General de Conservación de la Biodiversidad y Recursos Naturales,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/
Maria Alejandra Novara ,Directora General de Instrumentos y Políticas de Gestión Ambiental,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/
Román Cristian Pereyra,Director General de Mitigación y Adaptación al Cambio Climático,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/
Alberto Bresciano,Secretario de Servicios Públicos,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/
Juan Vallejos,Director General de Operaciones,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/
Gabriel Bermúdez,Secretario de Transporte,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/
Marcelo Mansilla,Director General de Transporte de Pasajeros,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/
Carlos Alaye,Director General de Transporte de Cargas,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/
Emiliano Willatowski,Director General de Administración,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/
Edgar Castelló,Secretario de Recursos Hídricos,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/
Edgar Castelló (A Cargo),Secretario de Desarrollo Energético,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/
Sergio Luis Mansur,Director General de Energías Renovables y Comunicación,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/
Bernardo Bartolomé Heredia,"Director General de Planeamiento, Ejecución y Gerenciamiento de Obras","Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/
Rubén Alberto Borello,Director General de Infraestructra,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/
Adrián Rinaudo,Director de Policía Ambiental,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/
María Victoria Muccillo,Subdirectora de Policía Ambiental,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/
Guillermo Mariano Iros,Coordinador del Instituto de Planificación Metropolitana,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/
José Ignacio Torno,Director General de Asuntos Legales,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/
Gabriel Antonio Testagrossa,Subsecretario de Control y Administración,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/
Patricio Terrera Woodward,Director General de Administración,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/
Carolina del Valle Basualdo,Secretaria de Equidad,Secretaria de Equidad y Promoción del Empleo,http://www.cba.gov.ar/reparticion/secretaria-de-equidad-y-promocion-del-empleo/
Inés María Zinny ,Directora General de Coordinación de Salas Cuna,Secretaria de Equidad y Promoción del Empleo,http://www.cba.gov.ar/reparticion/secretaria-de-equidad-y-promocion-del-empleo/
María Victoria Moncada,Directora General de Coordinación del Programa Córdoba con Ellas,Secretaria de Equidad y Promoción del Empleo,http://www.cba.gov.ar/reparticion/secretaria-de-equidad-y-promocion-del-empleo/
Miguel Pedro Civallero,Secretario de Promoción del Empleo,Secretaria de Equidad y Promoción del Empleo,http://www.cba.gov.ar/reparticion/secretaria-de-equidad-y-promocion-del-empleo/
María Soledad Ferraro,Subsecretaria de Formación Profesional y Capacitación Laboral,Secretaria de Equidad y Promoción del Empleo,http://www.cba.gov.ar/reparticion/secretaria-de-equidad-y-promocion-del-empleo/
 Dante Nicolás Quaglia,Director General de Promoción del Empleo,Secretaria de Equidad y Promoción del Empleo,http://www.cba.gov.ar/reparticion/secretaria-de-equidad-y-promocion-del-empleo/
Germán Adolfo Bossa,Director General de Análisis de Indicadores Socio-laborales y Promoción del Empleo,Secretaria de Equidad y Promoción del Empleo,http://www.cba.gov.ar/reparticion/secretaria-de-equidad-y-promocion-del-empleo/
