ministerio,cargo,funcionario,url
Ministro de Finanzas,Directora del Registro General de la Provincia,Mónica Alejandra Farfán,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/
Ministro de Finanzas,Directora General de Compras y Contrataciones,María Gimena Domenella,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/
Ministro de Finanzas,Directora General de Coordinación Operativa,Micaela Vanesa Speranza Bejas,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/
Ministro de Finanzas,Directora General de Presupuesto e Inversiones Públicas,Elida Cristina Ruiz,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/
Ministro de Finanzas,Fiscalía Tributaria Adjunta ,Adrián Alberto Daniele,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/
Ministro de Finanzas,Ministro de Finanzas,Osvaldo Giordano,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/
Ministro de Finanzas,Secretaria de Administración Financiera,Mónica Silvia Zornberg,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/
Ministro de Finanzas,Secretario de Ingresos Públicos,Heber Farfán,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/
Ministro de Finanzas,Secretario de Innovación y Modernización,Franco Carlos Boneu,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/
Ministro de Finanzas,Secretario Legal y Técnica y de Previsión Social,Mariano Martín Méndez,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/
Ministro de Finanzas,Subsecretaria de Estudios Económicos,María Laura García,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/
Ministro de Finanzas,Subsecretario de Tecnologías de la Información,Daniel Alejandro Gómez,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/
Ministro de Gobierno,Director General de Culto y Relaciones Institucionales,Américo Javier Romero Camaño,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Ministro de Gobierno,Director General de Planificación Estratégica de Seguridad,Alfredo Edgar Magallanes,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Ministro de Gobierno,Directora General de Administración,Graciela Avellaneda,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Ministro de Gobierno,Jefe de Policía,Gustavo Vélez,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Ministro de Gobierno,Ministro de Gobierno,Juan Carlos Massei,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Ministro de Gobierno,Presidente del Consejo de Seguridad Deportiva Provincial,Rody Wilson Guerreiro,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Ministro de Gobierno,Presidente del Tribunal de Conducta Policial y Penitenciario,Ana María Becerra,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Ministro de Gobierno,Secretario de Asuntos Institucionales,Miguel Siciliano,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Ministro de Gobierno,Secretario de Asuntos Municipales e Institucionales,Juan Carlos Scotto,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Ministro de Gobierno,Secretario de Desarrollo de Políticas Comunitarias,Oscar Arias,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Ministro de Gobierno,Secretario de Gestión de Riesgo Climático y Catástrofes,Claudio Severino Vignetta,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Ministro de Gobierno,Secretario de Integración Regional y Relaciones Internacionales,Carlos Tomás Alesandri,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
